Size,Lipid,Orientation,Backbone,PeptideDensity,OligoDensity,Attachment,OligoConc
80,80%,3,PO,0.05,Low,Chol,100
50,80%,3,PO,0.50,Low,Chol,100
80,80%,3,PO,0.50,Low,Chol,100
50,100%,3,PO,0.00,Low,DOPE,100
80,100%,3,PO,0.00,Low,DOPE,100
50,100%,3,PO,0.05,Low,DOPE,100
80,100%,3,PO,0.05,Low,DOPE,100
50,100%,3,PO,0.50,Low,DOPE,100
80,100%,3,PO,0.50,Low,DOPE,100
50,100%,3,PS,0.00,Low,Chol,100
80,100%,3,PS,0.00,Low,Chol,100
50,100%,3,PS,0.05,Low,Chol,100
80,100%,3,PS,0.05,Low,Chol,100
50,100%,3,PS,0.50,Low,Chol,100
80,100%,3,PS,0.50,Low,Chol,100
50,80%,3,PS,0.00,Low,Chol,100
80,80%,3,PS,0.00,Low,Chol,100
50,80%,3,PS,0.05,Low,Chol,100
80,80%,3,PS,0.05,Low,Chol,100
50,80%,3,PS,0.50,Low,Chol,100
80,80%,3,PS,0.50,Low,Chol,100
50,100%,3,PS,0.00,Low,DOPE,100
80,100%,3,PS,0.00,Low,DOPE,100
50,100%,3,PS,0.05,Low,DOPE,100
80,100%,3,PS,0.05,Low,DOPE,100
50,100%,3,PS,0.50,Low,DOPE,100
80,100%,3,PS,0.50,Low,DOPE,100
50,100%,5,PO,0.00,Low,Chol,100
80,100%,5,PO,0.00,Low,Chol,100
50,100%,5,PO,0.05,Low,Chol,100
80,100%,5,PO,0.05,Low,Chol,100
50,100%,5,PO,0.50,Low,Chol,100
80,100%,5,PO,0.50,Low,Chol,100
50,80%,5,PO,0.00,Low,Chol,100
80,80%,5,PO,0.00,Low,Chol,100
50,80%,5,PO,0.05,Low,Chol,100
80,80%,5,PO,0.05,Low,Chol,100
50,80%,5,PO,0.50,Low,Chol,100
80,80%,5,PO,0.50,Low,Chol,100
50,100%,5,PO,0.00,Low,DOPE,100
80,100%,5,PO,0.00,Low,DOPE,100
50,100%,5,PO,0.05,Low,DOPE,100
80,100%,5,PO,0.05,Low,DOPE,100
50,100%,5,PO,0.50,Low,DOPE,100
80,100%,5,PO,0.50,Low,DOPE,100
50,100%,5,PS,0.00,Low,Chol,100
80,100%,5,PS,0.00,Low,Chol,100
50,100%,5,PS,0.05,Low,Chol,100
80,100%,5,PS,0.05,Low,Chol,100
50,100%,5,PS,0.50,Low,Chol,100
80,100%,5,PS,0.50,Low,Chol,100
50,80%,5,PS,0.00,Low,Chol,100
80,80%,5,PS,0.00,Low,Chol,100
50,80%,5,PS,0.05,Low,Chol,100
80,80%,5,PS,0.05,Low,Chol,100
50,80%,5,PS,0.50,Low,Chol,100
80,80%,5,PS,0.50,Low,Chol,100
50,100%,5,PS,0.00,Low,DOPE,100
80,100%,5,PS,0.00,Low,DOPE,100
50,100%,5,PS,0.05,Low,DOPE,100
80,100%,5,PS,0.05,Low,DOPE,100
50,100%,5,PS,0.50,Low,DOPE,100
80,100%,5,PS,0.50,Low,DOPE,100
50,100%,3,PO,0.00,High,Chol,100
80,100%,3,PO,0.00,High,Chol,100
50,100%,3,PO,0.05,High,Chol,100
80,100%,3,PO,0.05,High,Chol,100
50,100%,3,PO,0.50,High,Chol,100
80,100%,3,PO,0.50,High,Chol,100
50,80%,3,PO,0.00,High,Chol,100
80,80%,3,PO,0.00,High,Chol,100
50,80%,3,PO,0.05,High,Chol,100
80,80%,3,PO,0.05,High,Chol,100
50,80%,3,PO,0.50,High,Chol,100
80,80%,3,PO,0.50,High,Chol,100
50,100%,3,PO,0.00,High,DOPE,100
80,100%,3,PO,0.00,High,DOPE,100
50,100%,3,PO,0.05,High,DOPE,100
80,100%,3,PO,0.05,High,DOPE,100
50,100%,3,PO,0.50,High,DOPE,100
80,100%,3,PO,0.50,High,DOPE,100
50,100%,3,PS,0.00,High,Chol,100
80,100%,3,PS,0.00,High,Chol,100
50,100%,3,PS,0.05,High,Chol,100
80,100%,3,PS,0.05,High,Chol,100
50,100%,3,PS,0.50,High,Chol,100
80,100%,3,PS,0.50,High,Chol,100
50,80%,3,PS,0.00,High,Chol,100
80,80%,3,PS,0.00,High,Chol,100
50,80%,3,PS,0.05,High,Chol,100
80,80%,3,PS,0.05,High,Chol,100
50,80%,3,PS,0.50,High,Chol,100
80,80%,3,PS,0.50,High,Chol,100
50,100%,3,PS,0.00,High,DOPE,100
80,100%,3,PS,0.00,High,DOPE,100
50,100%,3,PS,0.05,High,DOPE,100
80,100%,3,PS,0.05,High,DOPE,100
50,100%,3,PS,0.50,High,DOPE,100
80,100%,3,PS,0.50,High,DOPE,100
50,100%,5,PO,0.00,High,Chol,100
80,100%,5,PO,0.00,High,Chol,100
50,100%,5,PO,0.05,High,Chol,100
80,100%,5,PO,0.05,High,Chol,100
50,100%,5,PO,0.50,High,Chol,100
80,100%,5,PO,0.50,High,Chol,100
50,80%,5,PO,0.00,High,Chol,100
80,80%,5,PO,0.00,High,Chol,100
50,80%,5,PO,0.05,High,Chol,100
80,80%,5,PO,0.05,High,Chol,100
50,80%,5,PO,0.50,High,Chol,100
80,80%,5,PO,0.50,High,Chol,100
50,100%,5,PO,0.00,High,DOPE,100
80,100%,5,PO,0.00,High,DOPE,100
50,100%,5,PO,0.05,High,DOPE,100
80,100%,5,PO,0.05,High,DOPE,100
50,100%,5,PO,0.50,High,DOPE,100
80,100%,5,PO,0.50,High,DOPE,100
50,100%,5,PS,0.00,High,Chol,100
80,100%,5,PS,0.00,High,Chol,100
50,100%,5,PS,0.05,High,Chol,100
80,100%,5,PS,0.05,High,Chol,100
50,100%,5,PS,0.50,High,Chol,100
80,100%,5,PS,0.50,High,Chol,100
50,80%,5,PS,0.00,High,Chol,100
80,80%,5,PS,0.00,High,Chol,100
50,80%,5,PS,0.05,High,Chol,100
80,80%,5,PS,0.05,High,Chol,100
50,80%,5,PS,0.50,High,Chol,100
80,80%,5,PS,0.50,High,Chol,100
50,100%,5,PS,0.00,High,DOPE,100
80,100%,5,PS,0.00,High,DOPE,100
50,100%,5,PS,0.05,High,DOPE,100
80,100%,5,PS,0.05,High,DOPE,100
50,100%,5,PS,0.50,High,DOPE,100
80,100%,5,PS,0.50,High,DOPE,100
50,100%,3,PO,0.00,VHigh,DOPE,100
80,100%,3,PO,0.00,VHigh,DOPE,100
50,100%,3,PO,0.05,VHigh,DOPE,100
80,100%,3,PO,0.05,VHigh,DOPE,100
50,100%,3,PO,0.50,VHigh,DOPE,100
80,100%,3,PO,0.50,VHigh,DOPE,100
50,100%,3,PS,0.00,VHigh,DOPE,100
80,100%,3,PS,0.00,VHigh,DOPE,100
50,100%,3,PS,0.05,VHigh,DOPE,100
80,100%,3,PS,0.05,VHigh,DOPE,100
50,100%,3,PS,0.50,VHigh,DOPE,100
80,100%,3,PS,0.50,VHigh,DOPE,100
50,100%,5,PO,0.00,VHigh,DOPE,100
80,100%,5,PO,0.00,VHigh,DOPE,100
50,100%,5,PO,0.05,VHigh,DOPE,100
80,100%,5,PO,0.05,VHigh,DOPE,100
50,100%,5,PO,0.50,VHigh,DOPE,100
80,100%,5,PO,0.50,VHigh,DOPE,100
50,100%,5,PS,0.00,VHigh,DOPE,100
80,100%,5,PS,0.00,VHigh,DOPE,100
50,100%,5,PS,0.05,VHigh,DOPE,100
80,100%,5,PS,0.05,VHigh,DOPE,100
50,100%,5,PS,0.50,VHigh,DOPE,100
80,100%,5,PS,0.50,VHigh,DOPE,100
50,100%,3,PO,0.00,Low,Chol,1000
80,100%,3,PO,0.00,Low,Chol,1000
50,100%,3,PO,0.05,Low,Chol,1000
80,100%,3,PO,0.05,Low,Chol,1000
50,100%,3,PO,0.50,Low,Chol,1000
80,100%,3,PO,0.50,Low,Chol,1000
50,80%,3,PO,0.00,Low,Chol,1000
80,80%,3,PO,0.00,Low,Chol,1000
50,80%,3,PO,0.05,Low,Chol,1000
80,80%,3,PO,0.05,Low,Chol,1000
50,80%,3,PO,0.50,Low,Chol,1000
80,80%,3,PO,0.50,Low,Chol,1000
50,100%,3,PO,0.00,Low,DOPE,1000
80,100%,3,PO,0.00,Low,DOPE,1000
50,100%,3,PO,0.05,Low,DOPE,1000
80,100%,3,PO,0.05,Low,DOPE,1000
50,100%,3,PO,0.50,Low,DOPE,1000
80,100%,3,PO,0.50,Low,DOPE,1000
50,100%,3,PS,0.00,Low,Chol,1000
80,100%,3,PS,0.00,Low,Chol,1000
50,100%,3,PS,0.05,Low,Chol,1000
80,100%,3,PS,0.05,Low,Chol,1000
50,100%,3,PS,0.50,Low,Chol,1000
80,100%,3,PS,0.50,Low,Chol,1000
50,80%,3,PS,0.00,Low,Chol,1000
80,80%,3,PS,0.00,Low,Chol,1000
50,80%,3,PS,0.05,Low,Chol,1000
80,80%,3,PS,0.05,Low,Chol,1000
50,80%,3,PS,0.50,Low,Chol,1000
80,80%,3,PS,0.50,Low,Chol,1000
50,100%,3,PS,0.00,Low,DOPE,1000
80,100%,3,PS,0.00,Low,DOPE,1000
50,100%,3,PS,0.05,Low,DOPE,1000
80,100%,3,PS,0.05,Low,DOPE,1000
50,100%,3,PS,0.50,Low,DOPE,1000
80,100%,3,PS,0.50,Low,DOPE,1000
50,100%,5,PO,0.00,Low,Chol,1000
80,100%,5,PO,0.00,Low,Chol,1000
50,100%,5,PO,0.05,Low,Chol,1000
80,100%,5,PO,0.05,Low,Chol,1000
50,100%,5,PO,0.50,Low,Chol,1000
80,100%,5,PO,0.50,Low,Chol,1000
50,80%,5,PO,0.00,Low,Chol,1000
80,80%,5,PO,0.00,Low,Chol,1000
50,80%,5,PO,0.05,Low,Chol,1000
80,80%,5,PO,0.05,Low,Chol,1000
50,80%,5,PO,0.50,Low,Chol,1000
80,80%,5,PO,0.50,Low,Chol,1000
50,100%,5,PO,0.00,Low,DOPE,1000
80,100%,5,PO,0.00,Low,DOPE,1000
50,100%,5,PO,0.05,Low,DOPE,1000
80,100%,5,PO,0.05,Low,DOPE,1000
50,100%,5,PO,0.50,Low,DOPE,1000
80,100%,5,PO,0.50,Low,DOPE,1000
50,100%,5,PS,0.00,Low,Chol,1000
80,100%,5,PS,0.00,Low,Chol,1000
50,100%,5,PS,0.05,Low,Chol,1000
80,100%,5,PS,0.05,Low,Chol,1000
50,100%,5,PS,0.50,Low,Chol,1000
80,100%,5,PS,0.50,Low,Chol,1000
50,80%,5,PS,0.00,Low,Chol,1000
80,80%,5,PS,0.00,Low,Chol,1000
50,80%,5,PS,0.05,Low,Chol,1000
80,80%,5,PS,0.05,Low,Chol,1000
50,80%,5,PS,0.50,Low,Chol,1000
80,80%,5,PS,0.50,Low,Chol,1000
50,100%,5,PS,0.00,Low,DOPE,1000
80,100%,5,PS,0.00,Low,DOPE,1000
50,100%,5,PS,0.05,Low,DOPE,1000
80,100%,5,PS,0.05,Low,DOPE,1000
50,100%,5,PS,0.50,Low,DOPE,1000
80,100%,5,PS,0.50,Low,DOPE,1000
50,100%,3,PO,0.00,High,Chol,1000
80,100%,3,PO,0.00,High,Chol,1000
50,100%,3,PO,0.05,High,Chol,1000
80,100%,3,PO,0.05,High,Chol,1000
50,100%,3,PO,0.50,High,Chol,1000
80,100%,3,PO,0.50,High,Chol,1000
50,80%,3,PO,0.00,High,Chol,1000
80,80%,3,PO,0.00,High,Chol,1000
50,80%,3,PO,0.05,High,Chol,1000
80,80%,3,PO,0.05,High,Chol,1000
50,80%,3,PO,0.50,High,Chol,1000
80,80%,3,PO,0.50,High,Chol,1000
50,100%,3,PO,0.00,High,DOPE,1000
80,100%,3,PO,0.00,High,DOPE,1000
50,100%,3,PO,0.05,High,DOPE,1000
80,100%,3,PO,0.05,High,DOPE,1000
50,100%,3,PO,0.50,High,DOPE,1000
80,100%,3,PO,0.50,High,DOPE,1000
50,100%,3,PS,0.00,High,Chol,1000
80,100%,3,PS,0.00,High,Chol,1000
50,100%,3,PS,0.05,High,Chol,1000
80,100%,3,PS,0.05,High,Chol,1000
50,100%,3,PS,0.50,High,Chol,1000
80,100%,3,PS,0.50,High,Chol,1000
50,80%,3,PS,0.00,High,Chol,1000
80,80%,3,PS,0.00,High,Chol,1000
50,80%,3,PS,0.05,High,Chol,1000
80,80%,3,PS,0.05,High,Chol,1000
50,80%,3,PS,0.50,High,Chol,1000
80,80%,3,PS,0.50,High,Chol,1000
50,100%,3,PS,0.00,High,DOPE,1000
80,100%,3,PS,0.00,High,DOPE,1000
50,100%,3,PS,0.05,High,DOPE,1000
80,100%,3,PS,0.05,High,DOPE,1000
50,100%,3,PS,0.50,High,DOPE,1000
80,100%,3,PS,0.50,High,DOPE,1000
50,100%,5,PO,0.00,High,Chol,1000
80,100%,5,PO,0.00,High,Chol,1000
50,100%,5,PO,0.05,High,Chol,1000
80,100%,5,PO,0.05,High,Chol,1000
50,100%,5,PO,0.50,High,Chol,1000
80,100%,5,PO,0.50,High,Chol,1000
50,80%,5,PO,0.00,High,Chol,1000
80,80%,5,PO,0.00,High,Chol,1000
50,80%,5,PO,0.05,High,Chol,1000
80,80%,5,PO,0.05,High,Chol,1000
50,80%,5,PO,0.50,High,Chol,1000
80,80%,5,PO,0.50,High,Chol,1000
50,100%,5,PO,0.00,High,DOPE,1000
80,100%,5,PO,0.00,High,DOPE,1000
50,100%,5,PO,0.05,High,DOPE,1000
80,100%,5,PO,0.05,High,DOPE,1000
50,100%,5,PO,0.50,High,DOPE,1000
80,100%,5,PO,0.50,High,DOPE,1000
50,100%,5,PS,0.00,High,Chol,1000
80,100%,5,PS,0.00,High,Chol,1000
50,100%,5,PS,0.05,High,Chol,1000
80,100%,5,PS,0.05,High,Chol,1000
50,100%,5,PS,0.50,High,Chol,1000
80,100%,5,PS,0.50,High,Chol,1000
50,80%,5,PS,0.00,High,Chol,1000
80,80%,5,PS,0.00,High,Chol,1000
50,80%,5,PS,0.05,High,Chol,1000
80,80%,5,PS,0.05,High,Chol,1000
50,80%,5,PS,0.50,High,Chol,1000
80,80%,5,PS,0.50,High,Chol,1000
50,100%,5,PS,0.00,High,DOPE,1000
80,100%,5,PS,0.00,High,DOPE,1000
50,100%,5,PS,0.05,High,DOPE,1000
80,100%,5,PS,0.05,High,DOPE,1000
50,100%,5,PS,0.50,High,DOPE,1000
80,100%,5,PS,0.50,High,DOPE,1000
50,100%,3,PO,0.00,VHigh,DOPE,1000
80,100%,3,PO,0.00,VHigh,DOPE,1000
50,100%,3,PO,0.05,VHigh,DOPE,1000
80,100%,3,PO,0.05,VHigh,DOPE,1000
50,100%,3,PO,0.50,VHigh,DOPE,1000
80,100%,3,PO,0.50,VHigh,DOPE,1000
50,100%,3,PS,0.00,VHigh,DOPE,1000
80,100%,3,PS,0.00,VHigh,DOPE,1000
50,100%,3,PS,0.05,VHigh,DOPE,1000
80,100%,3,PS,0.05,VHigh,DOPE,1000
50,100%,3,PS,0.50,VHigh,DOPE,1000
80,100%,3,PS,0.50,VHigh,DOPE,1000
50,100%,5,PO,0.00,VHigh,DOPE,1000
80,100%,5,PO,0.00,VHigh,DOPE,1000
50,100%,5,PO,0.05,VHigh,DOPE,1000
80,100%,5,PO,0.05,VHigh,DOPE,1000
50,100%,5,PO,0.50,VHigh,DOPE,1000
80,100%,5,PO,0.50,VHigh,DOPE,1000
50,100%,5,PS,0.00,VHigh,DOPE,1000
80,100%,5,PS,0.00,VHigh,DOPE,1000
50,100%,5,PS,0.05,VHigh,DOPE,1000
80,100%,5,PS,0.05,VHigh,DOPE,1000
50,100%,5,PS,0.50,VHigh,DOPE,1000
80,100%,5,PS,0.50,VHigh,DOPE,1000
